institution,established,gradutes,registed_students,freshmen,active_students
 Ανωτάτη Σχολή Καλών Τεχνών,31/12/1836,195,2.120,671,1.333
 Αριστοτέλειο Πανεπιστήμιο Θεσσαλονίκης,14/06/1925,6.568,72.285,7.888,38.893
 ΑΣΠΑΙΤΕ,28/06/2002,178,3.601,183,2.671
 Γεωπονικό Πανεπιστήμιο Αθηνών,22/01/1920,911,13.318,832,7.232
 Δημοκρίτειο Πανεπιστήμιο Θράκης,27/07/1973,3.593,25.605,4.269,16.922
 Διεθνές Πανεπιστήμιο της Ελλάδος,07/05/2019,3.255,53.944,7.712,27.417
 Εθνικό και Καποδιστριακό Πανεπιστήμιο Αθηνών,24/04/1837,7.329,100.963,11.108,42.192
 Εθνικό Μετσόβιο Πολυτεχνείο,20/06/1857,1.392,20.292,1.695,10.759
 Ελληνικό Ανοικτό Πανεπιστήμιο,21/09/1991,2.000,14.464,3.171,11.634
 Ελληνικό Μεσογειακό Πανεπιστήμιο,07/05/2019,1.160,19.909,1.547,9.668
 Ιόνιο Πανεπιστήμιο,07/03/1984,622,12.162,1.885,7.555
 Οικονομικό Πανεπιστήμιο Αθηνών,18/06/1920,1.385,22.685,1.825,9.618
 Πανεπιστήμιο Αιγαίου,20/03/1984,1.702,17.688,2.327,10.830
 Πανεπιστήμιο Δυτικής Αττικής,02/03/2018,3.867,54.060,5.190,30.078
 Πανεπιστήμιο Δυτικής Μακεδονίας,07/05/2019,1.371,36.237,2.550,16.993
 Πανεπιστήμιο Θεσσαλίας,20/03/1984,4.839,41.418,4.563,23.346
 Πανεπιστήμιο Ιωαννίνων,12/12/1970,3.114,31.186,4.354,18.583
 Πανεπιστήμιο Κρήτης,27/07/1973,1.884,20.672,2.226,13.217
 Πανεπιστήμιο Μακεδονίας,28/09/1948,1.478,12.601,2.048,9.076
 Πανεπιστήμιο Πατρών,11/11/1964,4.416,51.939,5.767,30.881
 Πανεπιστήμιο Πειραιώς,22/12/1938,1.665,24.323,2.269,10.360
 Πανεπιστήμιο Πελοποννήσου,01/02/2000,1.761,22.356,3.217,13.983
 Πάντειον Πανεπιστήμιο Κοινωνικών και Πολιτικών Επιστημών,18/10/1934,1.763,20.584,2.190,9.659
 Πολυτεχνείο Κρήτης,17/02/1977,397,6.337,559,4.471
 Στρατιωτική Σχολή Ευελπίδων,21/12/1828,166,783,241,783
 Σχολή Ικάρων,12/11/1964,67,329,207,329
 Σχολή Ναυτικών Δοκίμων,24/11/1845,38,159,68,159
 Χαροκόπειο Πανεπιστήμιο,27/08/1990,261,3.298,450,2.188
