institution,established,graduate,registered,enrolled,active
Ανωτάτη Σχολή Καλών Τεχνών,31/12/1836,215,2147,223,1426
Αριστοτέλειο Πανεπιστήμιο Θεσσαλονίκης,14/06/1925,7327,73948,9095,42220
ΑΣΠΑΙΤΕ,28/06/2002,153,3630,460,2639
Γεωπονικό Πανεπιστήμιο Αθηνών,22/01/1920,701,13442,1532,7900
Δημοκρίτειο Πανεπιστήμιο Θράκης,27/07/1973,2613,23547,4639,15742
Διεθνές Πανεπιστήμιο της Ελλάδος,07/05/2019,3406,55561,7841,31281
Εθνικό και Καποδιστριακό Πανεπιστήμιο Αθηνών,24/04/1837,7408,100627,9350,43206
Εθνικό Μετσόβιο Πολυτεχνείο,20/06/1857,1416,19965,1727,10773
Ελληνικό Ανοικτό Πανεπιστήμιο,21/09/1991,1978,14971,3018,11913
Ελληνικό Μεσογειακό Πανεπιστήμιο,07/05/2019,1013,20645,2346,10400
Ιόνιο Πανεπιστήμιο,07/03/1984,678,10911,1578,7276
Οικονομικό Πανεπιστήμιο Αθηνών,18/06/1920,1559,22863,2018,9953
Πανεπιστήμιο Αιγαίου,20/03/1984,1606,17163,3132,11353
Πανεπιστήμιο Δυτικής Αττικής,02/03/2018,3516,53410,6011,30620
Πανεπιστήμιο Δυτικής Μακεδονίας,07/05/2019,1283,32066,4934,16243
Πανεπιστήμιο Θεσσαλίας,20/03/1984,3536,42760,5786,25373
Πανεπιστήμιο Ιωαννίνων,12/12/1970,3104,30401,4639,18403
Πανεπιστήμιο Κρήτης,27/07/1973,1938,20977,2870,13977
Πανεπιστήμιο Μακεδονίας,28/09/1948,2185,12159,2164,8809
Πανεπιστήμιο Πατρών,11/11/1964,4573,56024,7838,36738
Πανεπιστήμιο Πειραιώς,22/12/1938,2372,24024,2378,10847
Πανεπιστήμιο Πελοποννήσου,01/02/2000,1406,23703,4232,15125
Πάντειον Πανεπιστήμιο Κοινωνικών και Πολιτικών Επιστημών,18/10/1934,1801,21534,2232,9977
Πολυτεχνείο Κρήτης,17/02/1977,359,6290,712,4693
Στρατιωτική Σχολή Ευελπίδων,21/12/1828,230,776,199,776
Σχολή Ικάρων,12/11/1964,59,302,81,302
Σχολή Ναυτικών Δοκίμων,24/11/1845,43,137,45,137
Χαροκόπειο Πανεπιστήμιο,27/08/1990,250,3214,461,2140
